"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V24","V25","V26","V27","V29","V30","V31","V32","V33","V34","V36","V37","V38","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V87","V88","V89","V90","V91","V92","V93","V94","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V116","V117","V118","V120","V121","V124","V126","V127","V134","V137","V142","V148","V153","V158","V159","V161","V163","V164","V165","V167","V169","V171","V175","V176","V177","V179","V184","V185","V187","V190","V192","V194","V197","V203","V206","V212","V245","V246","V270"
"121",15,15,14,13,14,14,12,13,13,12,13,13,12,13,13,13,14,14,14,15,15,14,16,17,17,10,13,14,15,16,17,17,14,14,14,16,16,14,15,16,17,18,18,10,11,14,15,16,18,18,18,15,16,16,15,15,15,16,17,17,15,17,18,18,18,19,19,15,17,17,17,18,19,20,20,16,18,19,19,19,20,20,17,18,19,19,18,20,20,21,21,19,20,21,22,22,20,20,20,20,8,10,10,9,6,8,9,9,9,9,0,5,5,7,10,12,13,13,14,15,17,17,19,19,19,11,13,17,17,17,16,19,23,23,24,19,20,22,23,24,23,19,23,23,16
"124",16,16,15,14,15,15,13,14,14,13,14,14,13,14,14,14,15,15,15,16,16,15,17,18,18,11,14,15,16,17,18,18,15,15,15,17,17,15,16,17,18,19,19,11,12,15,16,17,19,19,19,16,17,17,16,16,16,17,18,18,16,18,19,19,19,20,20,16,18,18,18,19,20,21,21,17,19,20,20,20,21,21,18,19,20,20,19,21,21,22,22,20,21,22,23,23,21,21,21,21,9,11,11,10,7,9,10,10,10,10,5,0,6,8,11,13,14,14,15,16,18,18,20,20,20,12,14,18,18,18,17,20,24,24,25,20,21,23,24,25,24,20,24,24,17
"126",14,14,13,12,13,13,11,12,12,11,12,12,11,12,12,12,13,13,13,14,14,13,15,16,16,9,12,13,14,15,16,16,13,13,13,15,15,13,14,15,16,17,17,9,10,13,14,15,17,17,17,14,15,15,14,14,14,15,16,16,14,16,17,17,17,18,18,14,16,16,16,17,18,19,19,15,17,18,18,18,19,19,16,17,18,18,17,19,19,20,20,18,19,20,21,21,19,19,19,19,7,9,9,8,5,7,8,8,8,8,5,6,0,4,9,11,12,12,13,14,16,16,18,18,18,10,12,16,16,16,15,18,22,22,23,18,19,21,22,23,22,18,22,22,15
"127",16,16,15,14,15,15,13,14,14,13,14,14,13,14,14,14,15,15,15,16,16,15,17,18,18,11,14,15,16,17,18,18,15,15,15,17,17,15,16,17,18,19,19,11,12,15,16,17,19,19,19,16,17,17,16,16,16,17,18,18,16,18,19,19,19,20,20,16,18,18,18,19,20,21,21,17,19,20,20,20,21,21,18,19,20,20,19,21,21,22,22,20,21,22,23,23,21,21,21,21,9,11,11,10,7,9,10,10,10,10,7,8,4,0,11,13,14,14,15,16,18,18,20,20,20,12,14,18,18,18,17,20,24,24,25,20,21,23,24,25,24,20,24,24,17
"134",15,15,14,13,14,14,12,13,13,12,13,13,12,13,13,13,14,14,14,15,15,14,16,17,17,10,13,14,15,16,17,17,14,14,14,16,16,14,15,16,17,18,18,10,11,14,15,16,18,18,18,15,16,16,15,15,15,16,17,17,15,17,18,18,18,19,19,15,17,17,17,18,19,20,20,16,18,19,19,19,20,20,17,18,19,19,18,20,20,21,21,19,20,21,22,22,20,20,20,20,8,10,10,9,8,10,11,11,11,11,10,11,9,11,0,8,9,9,10,11,13,13,15,15,15,11,13,17,17,17,16,19,23,23,24,19,20,22,23,24,23,19,23,23,16
"137",17,17,16,15,16,16,14,15,15,14,15,15,14,15,15,15,16,16,16,17,17,16,18,19,19,12,15,16,17,18,19,19,16,16,16,18,18,16,17,18,19,20,20,12,13,16,17,18,20,20,20,17,18,18,17,17,17,18,19,19,17,19,20,20,20,21,21,17,19,19,19,20,21,22,22,18,20,21,21,21,22,22,19,20,21,21,20,22,22,23,23,21,22,23,24,24,22,22,22,22,10,12,12,11,10,12,13,13,13,13,12,13,11,13,8,0,5,9,10,11,13,13,15,15,15,13,15,19,19,19,18,21,25,25,26,21,22,24,25,26,25,21,25,25,18
"142",18,18,17,16,17,17,15,16,16,15,16,16,15,16,16,16,17,17,17,18,18,17,19,20,20,13,16,17,18,19,20,20,17,17,17,19,19,17,18,19,20,21,21,13,14,17,18,19,21,21,21,18,19,19,18,18,18,19,20,20,18,20,21,21,21,22,22,18,20,20,20,21,22,23,23,19,21,22,22,22,23,23,20,21,22,22,21,23,23,24,24,22,23,24,25,25,23,23,23,23,11,13,13,12,11,13,14,14,14,14,13,14,12,14,9,5,0,10,11,12,14,14,16,16,16,14,16,20,20,20,19,22,26,26,27,22,23,25,26,27,26,22,26,26,19
"148",18,18,17,16,17,17,15,16,16,15,16,16,15,16,16,16,17,17,17,18,18,17,19,20,20,13,16,17,18,19,20,20,17,17,17,19,19,17,18,19,20,21,21,13,14,17,18,19,21,21,21,18,19,19,18,18,18,19,20,20,18,20,21,21,21,22,22,18,20,20,20,21,22,23,23,19,21,22,22,22,23,23,20,21,22,22,21,23,23,24,24,22,23,24,25,25,23,23,23,23,11,13,13,12,11,13,14,14,14,14,13,14,12,14,9,9,10,0,7,8,10,10,12,12,12,14,16,20,20,20,19,22,26,26,27,22,23,25,26,27,26,22,26,26,19
"153",19,19,18,17,18,18,16,17,17,16,17,17,16,17,17,17,18,18,18,19,19,18,20,21,21,14,17,18,19,20,21,21,18,18,18,20,20,18,19,20,21,22,22,14,15,18,19,20,22,22,22,19,20,20,19,19,19,20,21,21,19,21,22,22,22,23,23,19,21,21,21,22,23,24,24,20,22,23,23,23,24,24,21,22,23,23,22,24,24,25,25,23,24,25,26,26,24,24,24,24,12,14,14,13,12,14,15,15,15,15,14,15,13,15,10,10,11,7,0,7,9,9,11,11,11,15,17,21,21,21,20,23,27,27,28,23,24,26,27,28,27,23,27,27,20
"158",20,20,19,18,19,19,17,18,18,17,18,18,17,18,18,18,19,19,19,20,20,19,21,22,22,15,18,19,20,21,22,22,19,19,19,21,21,19,20,21,22,23,23,15,16,19,20,21,23,23,23,20,21,21,20,20,20,21,22,22,20,22,23,23,23,24,24,20,22,22,22,23,24,25,25,21,23,24,24,24,25,25,22,23,24,24,23,25,25,26,26,24,25,26,27,27,25,25,25,25,13,15,15,14,13,15,16,16,16,16,15,16,14,16,11,11,12,8,7,0,4,4,6,6,6,16,18,22,22,22,21,24,28,28,29,24,25,27,28,29,28,24,28,28,21
